ingredient_key,what_is_it,why_used,fun_fact,risk_label_human,health_impact_human,risk_label_dog,health_impact_dog,risk_label_cat,health_impact_cat,source
l_lysine,"An essential amino acid needed for protein building.","It is added to improve nutritional value in food and supplements.","It supports growth and tissue repair.","safe","Generally considered safe and beneficial.","safe","Safe for dogs and often used in pet diets.","safe","Safe for cats and important for immune support.","HealthyWhooo profile v1"
l_methionine,"An essential amino acid involved in many body processes.","It helps build proteins and supports metabolism.","It is also used in pet food to support urinary health.","safe","Generally considered safe and beneficial.","safe","Safe for dogs and used in nutrition.","safe","Safe for cats and often added to support urinary health.","HealthyWhooo profile v1"
soy_lecithin,"An emulsifier made from soy.","It helps oil and water mix and keeps food smooth.","It is one of the most common ingredients in chocolate and processed foods.","caution","Usually fine in small amounts, but still a processed ingredient.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
sorbitan_monostearate,"A processed emulsifier used in food production.","It helps improve texture and keeps ingredients evenly mixed.","It is commonly used in baked goods and desserts.","caution","Approved but clearly a processed functional ingredient.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
gelatin,"A protein made from animal collagen.","It is used to create gel-like textures in desserts.","It is what makes jelly and gummy candies firm and bouncy.","caution","Generally safe but not suitable for vegetarians or vegans.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
monocalcium_phosphate,"A mineral-based baking ingredient.","It helps dough rise when combined with baking soda.","It is a key part of baking powder.","safe","Generally considered safe.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
baking_soda,"A common household ingredient also used in baking.","It helps cakes and breads rise by releasing gas.","It reacts with acids to create bubbles.","safe","Generally considered safe.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
iron_ammonium_citrate,"A compound that provides iron and also acts as a technical additive.","It can be used to prevent clumping or to enrich food with iron.","It combines a functional role with nutritional value.","caution","Generally approved, but signals a more technical and processed ingredient.","caution","Safe for dogs in controlled amounts.","caution","Safe for cats in controlled amounts.","HealthyWhooo profile v1"
ammonium_phosphate,"A mineral compound used in baking.","It supports yeast growth and helps dough rise properly.","It acts more like a helper for baking than a direct food ingredient.","caution","Approved in small amounts but mainly used in processed baking.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
azodicarbonamide,"A chemical used to improve dough texture.","It helps dough become softer and easier to handle during baking.","It became widely known in public discussions about processed bread.","limit","Allowed in some regions but often avoided due to controversy.","avoid","Not suitable for dogs and should be avoided.","avoid","Not suitable for cats and should be avoided.","HealthyWhooo profile v1"
lactase,"An enzyme that breaks down lactose, the sugar in milk.","It is used to make lactose-free dairy products easier to digest.","It allows people with lactose intolerance to enjoy dairy.","safe","Generally considered safe and very useful.","safe","Safe for dogs.","safe","Safe for cats.","HealthyWhooo profile v1"
papain,"An enzyme extracted from papaya.","It helps break down proteins and soften food.","It is sometimes used to tenderize meat.","caution","Generally safe, but some people may be sensitive to it.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
rennet,"A group of enzymes used in cheese making.","It helps milk turn into solid curds.","It is essential for producing many types of cheese.","caution","Generally safe but may raise dietary or ethical questions.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
chymosin,"A key enzyme used to make cheese.","It helps separate milk into curds and whey.","It is one of the main enzymes responsible for cheese production.","caution","Generally safe and widely used in food production.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
blue_1,"A synthetic blue food coloring.","It is used to give bright blue color to drinks, candy, and desserts.","Bright blue foods are rare in nature, so this color is usually artificial.","caution","Approved but often avoided by people limiting artificial dyes.","safe","Safe for dogs in small amounts but has no nutritional value.","safe","Safe for cats in small amounts but used only for appearance.","HealthyWhooo profile v1"
blue_2,"A synthetic blue dye used in processed foods.","It gives products a deep blue color.","It is mostly known from U.S. ingredient labeling.","caution","Approved but often avoided by people limiting artificial dyes.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
green_3,"A synthetic green food coloring.","It is used to color sweets and desserts.","Artificial green shades are rarely found in natural foods.","caution","Approved but often avoided by people limiting artificial dyes.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
red_3,"A synthetic red food dye.","Used to color sweets and decorative foods.","It is one of the more controversial artificial dyes.","limit","Highly regulated and often avoided due to safety concerns.","avoid","Not suitable for dogs.","avoid","Not suitable for cats.","HealthyWhooo profile v1"
red_40,"A synthetic red dye widely used in foods.","Used in drinks, sweets, and snacks.","It is one of the most common artificial red colorings.","caution","Approved but often avoided by people limiting artificial dyes.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
yellow_5,"A synthetic yellow dye.","Used in drinks, candy, and snacks.","In Europe it is known as tartrazine.","caution","Approved but often avoided by people limiting artificial dyes.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
yellow_6,"A synthetic yellow-orange dye.","Used in processed foods and sweets.","Closely related to sunset yellow labeling in Europe.","caution","Approved but often avoided by people limiting artificial dyes.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
orange_b,"A synthetic orange dye.","Used in very limited food applications.","Rare and highly regulated.","limit","Highly restricted and rarely seen in everyday foods.","avoid","Not suitable for dogs.","avoid","Not suitable for cats.","HealthyWhooo profile v1"
citrus_red_2,"A synthetic red dye used on some fruit surfaces.","Applied mainly to enhance appearance.","Rarely used and tightly regulated.","limit","Highly restricted and uncommon in modern foods.","avoid","Not suitable for dogs.","avoid","Not suitable for cats.","HealthyWhooo profile v1"
sucrose,"A common sugar.","Used to sweeten foods and drinks.","This is standard table sugar.","caution","Fine in moderation, but excess intake is widely discouraged.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
glucose,"A simple sugar used for quick energy.","Used in sweets and processed foods.","It is one of the main energy sources for the body.","caution","Fine in moderation but contributes to total sugar intake.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
fructose,"A natural sugar found in fruit.","Also used as a sweetener in processed foods.","Natural and added forms are consumed differently.","caution","Fine in whole foods but often limited in processed forms.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
natural_flavoring,"A general term for flavor ingredients from natural sources.","Used to give foods specific taste without listing exact compounds.","The exact composition is often not disclosed.","caution","Legally approved but often very vague and processed.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
artificial_flavor,"A flavor ingredient made to imitate natural taste.","Used to create strong and consistent flavors in foods.","It can mimic vanilla, fruit, butter, and more.","limit","Often associated with ultra-processed foods and commonly limited by consumers.","avoid","Not suitable for dogs.","avoid","Not suitable for cats.","HealthyWhooo profile v1"
spices,"A broad group of plant-based seasonings.","Used to add flavor and aroma to food.","This label may hide the exact spice blend.","safe","Generally considered a normal and low-concern food ingredient.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
egg_yolks,"The yellow part of the egg.","Used for richness, texture, and natural emulsifying.","Helps mix fats and water naturally.","safe","A normal whole-food ingredient unless allergy is present.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
whey,"A liquid remaining after cheese production.","Used to add protein, texture, and dairy flavor.","Common in protein powders and processed foods.","safe","Generally safe unless dairy intolerance or allergy.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
enzymes,"A group of proteins that speed up food processes.","Used in baking, dairy production, and food processing.","Often not noticeable in the final product.","caution","Approved but vague labeling makes it less transparent.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
fruit_vegetable_juices,"Juices used for both flavor and natural coloring.","Used to give foods natural color like red, orange, or purple.","Often used instead of synthetic dyes.","safe","Considered a lower-concern natural coloring option.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
saffron,"A spice that also acts as a natural coloring.","Used to give foods a golden-yellow color and aroma.","One of the most expensive spices in the world.","safe","A natural and premium ingredient.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
grape_skin_extract,"A natural coloring from grape skins.","Used to give red or purple color to foods.","Rich in plant pigments similar to anthocyanins.","safe","Considered a natural and safe coloring.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
beta_carotene,"A natural orange-yellow pigment.","Used to color foods and also acts as provitamin A.","Found naturally in carrots and vegetables.","safe","Considered safe and beneficial in typical food use.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
caramel_color,"A brown coloring made from heated sugars.","Used to give foods and drinks a brown appearance.","Common in soft drinks and sauces.","caution","Approved but often linked to highly processed foods.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
calcium_propionate,"A preservative that helps stop mold growth.","Used especially in bread and baked goods.","It extends shelf life of packaged bread.","caution","Approved but often associated with processed bakery products.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
calcium_sorbate,"A preservative related to sorbic acid.","Used to help prevent mold and spoilage.","Belongs to the same family as potassium sorbate.","caution","Approved but often avoided by people limiting preservatives.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
cochineal_extract,"A red coloring derived from insects.","Used to color foods and drinks red or pink.","Not suitable for vegan diets.","caution","Approved but may surprise consumers due to animal origin.","avoid","Not suitable for dogs.","avoid","Not suitable for cats.","HealthyWhooo profile v1"
paprika_oleoresin,"A concentrated extract from paprika.","Used to give foods a red or orange color.","Adds color without strong paprika flavor.","safe","Considered a natural and safe coloring option.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
artificial_color,"A broad term for synthetic food coloring.","Used to change or intensify food color.","Does not specify the exact dye used.","limit","Often avoided due to lack of transparency and artificial origin.","avoid","Not suitable for dogs.","avoid","Not suitable for cats.","HealthyWhooo profile v1"
sugar,"A common sweet ingredient.","Used to make foods and drinks taste sweet.","This is standard table sugar.","caution","Fine in moderation but excess intake is widely discouraged.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
beet_sugar,"A sugar made from sugar beets.","Used similarly to regular sugar.","Common source of sugar in Europe.","caution","Nutritionally similar to other sugars; moderation recommended.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
cane_sugar,"A sugar extracted from sugar cane.","Used to sweeten drinks and foods.","Widely used globally.","caution","Still a form of added sugar; moderation recommended.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
brown_sugar,"A sugar containing molasses.","Used to add sweetness and caramel-like flavor.","Darker color comes from molasses.","caution","Nutritionally similar to regular sugar.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
raw_cane_sugar,"A less refined cane sugar.","Used as a more natural-looking sweetener.","Still functions like regular sugar.","caution","Often perceived as healthier but nutritionally similar to sugar.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
dextrose,"A simple sugar identical to glucose.","Used in sports drinks and processed foods.","Raises blood sugar quickly.","caution","A fast-absorbing sugar; high intake is generally discouraged.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
glucose,"A basic sugar used by the body for energy.","Used in foods and fermentation processes.","Main energy source for the brain.","caution","Fine in moderation but contributes to total sugar intake.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
fructose,"A natural sugar found in fruits.","Used to sweeten foods and drinks.","Sweeter than glucose.","caution","Naturally occurring is fine, but added forms are often limited.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
lactose,"A natural sugar found in milk.","Provides mild sweetness in dairy products.","Some people have difficulty digesting it.","caution","Safe for most but problematic for lactose-intolerant individuals.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
maltose,"A sugar formed from starch breakdown.","Used in brewing and baking.","Also known as malt sugar.","caution","Generally fine in small amounts but still contributes to sugar intake.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
honey,"A natural sweet substance made by bees.","Used for sweetness and flavor.","Contains natural sugars.","caution","Natural but still a concentrated sugar source.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
glucose_syrup,"A thick syrup made from starch.","Used in sweets and processed foods.","Helps improve texture and shelf life.","caution","Common in processed foods and contributes to added sugar intake.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
glucose_fructose_syrup,"A mixture of glucose and fructose.","Used in drinks and processed foods.","Widely used sweetener in packaged products.","caution","Highly processed sugar source; often limited in diets.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
invert_sugar_syrup,"A mix of glucose and fructose derived from sugar.","Used in bakery and confectionery.","Helps retain moisture.","caution","Still an added sugar despite different name.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
caramelized_sugar,"Sugar heated to create caramel flavor.","Used in desserts and sauces.","Gives brown color and rich taste.","caution","Still fundamentally sugar despite processing.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
salt,"A mineral used to enhance flavor.","Used in nearly all cuisines.","Essential in small amounts.","caution","Necessary for the body, but excessive intake is discouraged.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
sea_salt,"Salt obtained from evaporated seawater.","Used as seasoning and for texture.","Chemically similar to regular salt.","caution","Nutritionally similar to other salts; moderation recommended.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
table_salt,"Refined salt commonly used in cooking.","Used to season and preserve food.","Often fortified with iodine.","caution","Excess sodium intake is widely discouraged.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
rock_salt,"Salt mined from underground deposits.","Used in cooking and food processing.","Formed from ancient sea deposits.","caution","Nutritionally similar to other salts; moderation recommended.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
iodized_salt,"Salt fortified with iodine.","Used to support thyroid health.","Helps prevent iodine deficiency.","caution","Beneficial in small amounts but still a sodium source.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
black_pepper,"A spice made from dried pepper berries.","Adds mild heat and aroma.","Widely used globally.","safe","A normal culinary ingredient with low concern.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
white_pepper,"A milder form of pepper from the same plant.","Adds subtle heat to food.","Often used in light-colored dishes.","safe","A normal culinary ingredient with low concern.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
chili,"A spicy pepper used to add heat.","Used in sauces and spice blends.","Contains capsaicin responsible for heat.","safe","Generally safe but can be very spicy.","caution","May irritate dogs in larger amounts.","caution","May irritate cats in larger amounts.","HealthyWhooo profile v1"
paprika,"A ground spice made from dried peppers.","Adds color and mild sweetness.","Widely used in many cuisines.","safe","A natural and low-concern ingredient.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
smoked_paprika,"Paprika dried over smoke.","Adds smoky flavor and color.","Popular in Mediterranean cuisine.","safe","A natural spice with low concern.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
cayenne_pepper,"A hot ground chili pepper.","Used to add strong heat to food.","Very potent in small amounts.","safe","A natural spice; very spicy but generally safe in normal use.","caution","May irritate dogs in larger amounts.","caution","May irritate cats in larger amounts.","HealthyWhooo profile v1"
turmeric,"A yellow spice from a plant root.","Used for color and flavor.","Gives curry its bright yellow color.","safe","A natural spice with low concern.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
cinnamon,"A sweet aromatic spice from tree bark.","Used in desserts and drinks.","Widely used across cuisines.","safe","A natural spice with low concern.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
vanilla,"A fragrant flavor from vanilla orchids.","Used in desserts and sweet foods.","One of the most popular flavors worldwide.","safe","A natural flavor with low concern.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
vanilla_powder,"Ground vanilla used for flavoring.","Used in baking and desserts.","Provides concentrated vanilla aroma.","safe","A natural flavor ingredient with low concern.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
vanilla_bean,"The dried pod of the vanilla plant.","Used in premium desserts.","Highly valued natural ingredient.","safe","A whole-food flavor ingredient with low concern.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
nutmeg,"A warm aromatic spice.","Used in baked goods and savory dishes.","Very strong in flavor.","caution","Safe in small amounts but excessive intake is not recommended.","safe","Safe for dogs in very small amounts.","caution","May be harmful to cats in larger amounts.","HealthyWhooo profile v1"
cloves,"A strong aromatic spice from dried flower buds.","Used in sweets and savory dishes.","Very intense flavor.","safe","A natural spice with low concern.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
cardamom,"A fragrant spice from seed pods.","Used in sweets, tea, and baking.","Popular in many cuisines.","safe","A natural spice with low concern.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
coriander,"Seeds or leaves from the coriander plant.","Adds fresh and citrus-like aroma.","Used worldwide in cooking.","safe","A natural spice with low concern.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
cumin,"A warm earthy spice from dried seeds.","Used in spice mixes and savory dishes.","Common in many global cuisines.","safe","A natural spice with low concern.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
caraway,"A spice seed with a distinctive aroma.","Used in breads and cheeses.","Common in Central European cuisine.","safe","A natural spice with low concern.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
fennel,"A sweet, licorice-flavored seed.","Used in breads and spice blends.","Also used in herbal teas.","safe","A natural spice with low concern.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
anise,"A sweet spice with licorice flavor.","Used in sweets and beverages.","Popular in traditional recipes.","safe","A natural spice with low concern.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
star_anise,"A star-shaped spice with strong licorice flavor.","Used in spice blends and teas.","Common in Asian cuisine.","safe","A natural spice with low concern.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
ginger,"A root used as spice and flavoring.","Adds warmth and freshness.","Used in both food and drinks.","safe","A natural ingredient with low concern.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
wheat_flour,"Flour made from ground wheat grains.","Used in bread, cakes, and many foods.","A staple ingredient worldwide.","safe","A normal ingredient unless gluten intolerance is present.","caution","May not be suitable for some dogs.","caution","May not be suitable for some cats.","HealthyWhooo profile v1"
whole_wheat_flour,"Flour made from whole wheat grain.","Used in breads and baked goods.","Contains more fiber than refined flour.","safe","A whole-grain ingredient often considered beneficial.","caution","May not be suitable for some dogs.","caution","May not be suitable for some cats.","HealthyWhooo profile v1"
durum_wheat_flour,"Flour from hard durum wheat.","Used mainly in pasta and some breads.","Gives pasta firm texture.","safe","A normal grain ingredient unless gluten intolerance is present.","caution","May not be suitable for some dogs.","caution","May not be suitable for some cats.","HealthyWhooo profile v1"
spelt_flour,"Flour from spelt, an ancient wheat species.","Used in breads and bakery products.","Similar to wheat but less processed.","safe","A normal grain ingredient unless gluten intolerance is present.","caution","May not be suitable for some dogs.","caution","May not be suitable for some cats.","HealthyWhooo profile v1"
rye_flour,"Flour made from rye grain.","Used in rye breads and crackers.","Common in Northern European cuisine.","safe","A normal grain ingredient unless gluten intolerance is present.","caution","May not be suitable for some dogs.","caution","May not be suitable for some cats.","HealthyWhooo profile v1"
oat_flour,"Flour made from ground oats.","Used in baking and cereals.","Often valued for fiber content.","safe","Generally safe, but may contain gluten traces unless certified gluten-free.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
barley_flour,"Flour made from barley grains.","Used in bread and cereal products.","Contains gluten.","safe","A normal grain ingredient unless gluten intolerance is present.","caution","May not be suitable for some dogs.","caution","May not be suitable for some cats.","HealthyWhooo profile v1"
corn_flour,"Flour made from ground corn.","Used in baking and tortillas.","Naturally gluten-free.","safe","A common grain ingredient with low concern.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
rice_flour,"Flour made from milled rice.","Used in gluten-free baking and noodles.","Common in Asian cuisine.","safe","A widely used gluten-free ingredient.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
buckwheat_flour,"Flour from buckwheat seeds.","Used in pancakes and noodles.","Naturally gluten-free.","safe","Despite the name, it is not wheat and contains no gluten.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
millet_flour,"Flour made from millet grains.","Used in gluten-free baking.","Common in Africa and Asia.","safe","A gluten-free grain alternative with low concern.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
chickpea_flour,"Flour made from ground chickpeas.","Used in flatbreads and plant-based cooking.","High in plant protein.","safe","A legume-based flour with good nutritional value.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
coconut_flour,"Flour made from dried coconut pulp.","Used in gluten-free baking.","High in fiber.","safe","A plant-based flour with low concern.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
almond_flour,"Flour made from finely ground almonds.","Used in baking and desserts.","Popular in low-carb diets.","safe","Generally safe but not suitable for people with nut allergies.","caution","Not suitable for some dogs.","caution","Not suitable for some cats.","HealthyWhooo profile v1"
"wheat","A common cereal grain used in everyday foods like bread and pasta.","Used to make flour, giving structure and texture to baked goods.","Many people don't realize wheat has been a staple food for over 10,000 years.","caution","Contains gluten, which may not be suitable for people with gluten intolerance or celiac disease.","safe","Safe for dogs in small amounts, but not ideal in large quantities.","safe","Safe for cats in small amounts, though not a natural part of their diet.","EU food labels"
"rye","A cereal grain known for its strong, slightly sour taste.","Used in breads and baked goods for flavor and density.","Rye bread is a traditional favorite across Northern and Eastern Europe.","caution","Contains gluten, which may not be suitable for people with gluten intolerance or celiac disease.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts, but offers little nutritional value.","EU food labels"
"oats","Whole grains often eaten as oatmeal or added to snacks.","Used in breakfast foods, granola, and baking.","Oats are rich in fiber that can support heart health.","safe","Naturally gluten-free, but may contain gluten unless certified gluten-free.","safe","Safe for dogs and often used in dog foods.","safe","Generally safe for cats in small amounts.","EU food labels"
"barley","A cereal grain commonly used in food and drinks.","Used in soups, cereals, and brewing like beer.","Barley is one of the oldest cultivated grains in the world.","caution","Contains gluten, which may not be suitable for people with gluten intolerance or celiac disease.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts, but not essential for their diet.","EU food labels"
"spelt","An ancient type of wheat with a slightly nutty flavor.","Used in bread, pasta, and health-focused products.","Spelt has made a comeback as a 'heritage grain' in modern diets.","caution","Contains gluten, which may not be suitable for people with gluten intolerance or celiac disease.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","EU food labels"
"corn","A widely grown grain used in many everyday foods.","Used in snacks, cereals, and as a base for many processed foods.","Corn is also what makes popcorn pop.","safe","Generally safe and naturally gluten-free.","safe","Safe for dogs and commonly found in pet food.","safe","Safe for cats in small amounts, but not very nutritious for them.","EU food labels"
"rice","A staple grain eaten by billions of people worldwide.","Used in a wide variety of dishes, from meals to snacks.","Rice is a daily food for more than half of the world’s population.","safe","Generally safe and naturally gluten-free.","safe","Safe for dogs and easy to digest.","safe","Safe for cats in small amounts.","EU food labels"
"buckwheat","A seed that’s used like a grain despite its name.","Used in noodles, pancakes, and gluten-free foods.","Despite the name, buckwheat is not related to wheat at all.","safe","Generally safe and naturally gluten-free.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","EU food labels"
"millet","Small round grains often used in cereals and porridges.","Used in gluten-free products and simple grain dishes.","Millet is a staple food in many parts of Africa and Asia.","safe","Generally safe and naturally gluten-free.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","EU food labels"
"quinoa","A seed commonly eaten like a grain and known for its nutrition.","Used in salads, bowls, and healthy meal options.","Quinoa is rich in plant protein and contains all essential amino acids.","safe","Generally safe and naturally gluten-free.","safe","Safe for dogs in small amounts.","caution","Generally safe, but may be harder to digest for some cats.","EU food labels"
"amaranth","A tiny seed used like a grain and naturally gluten-free.","Used in cereals, snacks, and healthy recipes.","Amaranth was a staple food of the Aztecs thousands of years ago.","safe","Generally safe and naturally gluten-free, rich in nutrients.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","EU food labels"
"semolina","A coarse flour made from durum wheat.","Used to make pasta, porridge, and desserts.","Gives pasta its firm texture and golden color.","caution","Contains gluten, which may not be suitable for people with gluten intolerance or celiac disease.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","EU food labels"
"wheat_semolina","A coarse flour made specifically from wheat.","Used in pasta, porridge, and traditional dishes.","Common in many European and Middle Eastern recipes.","caution","Contains gluten, which may not be suitable for people with gluten intolerance or celiac disease.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","EU food labels"
"durum_semolina","A type of semolina made from hard durum wheat.","Used mainly to make high-quality pasta.","Italian pasta is often made from this ingredient.","caution","Contains gluten, which may not be suitable for people with gluten intolerance or celiac disease.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","EU food labels"
"bran","The outer layer of grains that is rich in fiber.","Added to foods to boost fiber and support digestion.","Often removed during refining, then added back for health benefits.","safe","Generally safe and supports healthy digestion when eaten in moderation.","safe","Safe for dogs in small amounts, may help digestion.","safe","Safe for cats in small amounts, but too much may upset digestion.","EU food labels"
"wheat_bran","The fiber-rich outer layer of wheat grains.","Used in cereals and baked goods for added fiber.","Popular in breakfast foods for digestive health.","caution","Contains gluten, which may not be suitable for people with gluten intolerance or celiac disease.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","EU food labels"
"oat_bran","The outer layer of oat grains, packed with fiber.","Used to boost fiber content in cereals and snacks.","Known for helping support healthy cholesterol levels.","safe","Naturally gluten-free, but may contain gluten unless certified gluten-free.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","EU food labels"
"wheat_germ","The nutrient-rich core of the wheat grain.","Added to foods for extra vitamins and minerals.","Often removed during processing, even though it's one of the healthiest parts.","caution","Contains gluten, which may not be suitable for people with gluten intolerance or celiac disease.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","EU food labels"
